id,date,size_plt,peroid,category,location_id,item_id,popularity,revenue,income,avg_profit
114,2022-04-03 00:00:00.000,12.0749778747559,90,2,17,7768,6.91968384984741,42681.3594,-175424.875,-8.99611568450928
115,2022-04-03 00:00:00.000,6.90855503082275,90,0,3,9900,6.75460409948796,7902.7998,998.80,0.129545852541924
116,2022-04-03 00:00:00.000,0.6931471824646,90,3,34,3253,6.54391184556479,0.00,0.00,0
117,2022-04-03 00:00:00.000,7.53039932250977,90,3,3,2159,6.48004456192665,1861.85,1861.85,0.968067228794098
118,2022-04-03 00:00:00.000,6.32364177703857,90,3,13,9616,6.47543271670409,3155.5999,555.60,0.157866612076759
119,2022-04-03 00:00:00.000,6.49882411956787,90,3,27,658,6.21060007702465,6151.3599,662.36,0.131391257047653
120,2022-04-03 00:00:00.000,6.90953350067139,90,3,3,5061,6.19847871649231,4765.7798,999.78,0.182527840137482
121,2022-04-03 00:00:00.000,0.6931471824646,90,3,34,10277,6.15060276844628,8911.00,0.00,0
122,2022-04-03 00:00:00.000,0.6931471824646,90,3,17,7761,6.07304453410041,43187.1602,0.00,0
123,2022-04-03 00:00:00.000,6.8219575881958,90,3,5,4090,6.06145691892802,7365.7798,915.78,0.129693076014519
124,2022-04-03 00:00:00.000,7.90994119644165,90,3,34,3265,6.04263283368238,20867.3301,2722.23,0.130441337823868
125,2022-04-03 00:00:00.000,0.6931471824646,90,3,34,3249,6.00881318544259,70170.8672,0.00,0
126,2022-04-03 00:00:00.000,5.39589786529541,90,3,27,2574,5.9427993751267,218.50,218.50,0.0332409963011742
127,2022-04-03 00:00:00.000,6.09119653701782,90,3,13,9632,5.92157841964382,3050.95,439.95,0.1438247859478
128,2022-04-03 00:00:00.000,6.76918268203735,90,3,13,833,5.88610403145016,6628.6001,868.60,0.132647812366486
129,2022-04-03 00:00:00.000,7.24690961837769,90,3,3,1959,5.80211837537706,5778.7598,1401.76,0.253795802593231
130,2022-04-03 00:00:00.000,0.6931471824646,90,3,34,3259,5.78689738136671,19670.8398,0.00,0
131,2022-04-03 00:00:00.000,0.6931471824646,90,3,34,3254,5.74939298590825,121810.0156,0.00,0
132,2022-04-03 00:00:00.000,5.80193710327148,90,3,30,9885,5.71042701737487,3073.9402,328.94,0.125977963209152
133,2022-04-03 00:00:00.000,4.77432203292847,90,3,3,9783,5.69035945432406,1007.43,116.43,0.128531605005264
134,2022-04-03 00:00:00.000,6.67006874084473,90,3,27,4962,5.68017260901707,4902.4502,786.45,0.163739830255508
135,2022-04-03 00:00:00.000,5.56872606277466,90,3,27,106,5.66642668811243,1994.10,260.10,0.130400002002716
136,2022-04-03 00:00:00.000,3.40119743347168,90,1,6,488,5.5834963087817,1302.00,-28.00,0.00107406009919941
137,2022-04-03 00:00:00.000,0.6931471824646,90,1,3,742,5.57594910314632,0.00,0.00,0
138,2022-04-03 00:00:00.000,6.39325618743896,90,1,13,812,5.55682806169954,5257.8003,595.80,0.127683341503143
139,2022-04-03 00:00:00.000,6.65337896347046,90,1,27,5057,5.52545293913178,4357.3999,773.40,0.197267800569534
140,2022-04-03 00:00:00.000,7.60247611999512,90,1,9,1118,5.52146091786225,15342.1504,2001.15,0.130400002002716
141,2022-04-03 00:00:00.000,6.10188722610474,90,1,31,4725,5.51342874616498,3516.70,444.70,0.129663273692131
142,2022-04-03 00:00:00.000,5.39021253585815,90,1,3,1449,5.50125821054473,9274.75,-217.25,0.105061613023281
143,2022-04-03 00:00:00.000,5.39680433273315,90,1,3,122,5.4971682252932,1682.7001,218.70,0.12961445748806
144,2022-04-03 00:00:00.000,0.6931471824646,90,1,34,10276,5.48479693349065,4338.00,0.00,0
145,2022-04-03 00:00:00.000,6.07993316650391,90,1,34,10283,5.4553211153577,10095.00,-435.00,-0.131167769432068
146,2022-04-03 00:00:00.000,0.6931471824646,90,1,21,3925,5.43372200355424,464.00,0.00,0
147,2022-04-03 00:00:00.000,0.6931471824646,90,1,34,10278,5.42053499927229,3616.00,0.00,0
148,2022-04-03 00:00:00.000,6.22657632827759,90,1,27,4008,5.40267738187228,3864.02,504.02,0.130415499210358
149,2022-04-03 00:00:00.000,0.6931471824646,90,1,17,7822,5.40267738187228,0.00,0.00,0
150,2022-04-03 00:00:00.000,6.40191698074341,90,1,13,817,5.37063802812766,3611.00,601.00,0.162847757339478
151,2022-04-03 00:00:00.000,0.6931471824646,90,1,3,642,5.36597601502185,0.00,0.00,0
152,2022-04-03 00:00:00.000,6.14898109436035,90,1,7,626,5.34233425196481,3574.24,466.24,0.13051538169384
153,2022-04-03 00:00:00.000,5.17218732833862,90,1,11,2083,5.33271879326537,1428.30,174.30,0.128892481327057
154,2022-04-03 00:00:00.000,5.37625026702881,90,1,27,9907,5.31320597904179,1642.21,214.21,0.130417749285698
155,2022-04-03 00:00:00.000,4.53635597229004,90,1,8,9795,5.31320597904179,700.35,91.35,0.130400002002716
156,2022-04-03 00:00:00.000,6.50645637512207,90,1,3,1572,5.28826703069454,5692.4502,667.45,0.128427758812904
157,2022-04-03 00:00:00.000,5.17417049407959,90,1,3,9893,5.28320372873799,1553.65,174.65,0.127027586102486
158,2022-04-03 00:00:00.000,4.46820449829102,90,1,5,9906,5.28320372873799,676.20,85.20,0.129055678844452
159,2022-04-03 00:00:00.000,4.08007669448853,90,1,3,9798,5.27811465923052,645.15,57.15,0.126350313425064
160,2022-04-03 00:00:00.000,0.6931471824646,90,1,17,7818,5.27299955856375,21645.00,0.00,0
161,2022-04-03 00:00:00.000,5.46383190155029,90,1,17,7738,5.27299955856375,1794.00,234.00,0.130400002002716
162,2022-04-03 00:00:00.000,6.21889877319336,90,1,3,4936,5.26785815906333,3244.1499,500.15,0.146960005164146
163,2022-04-03 00:00:00.000,0.6931471824646,90,1,21,3969,5.24174701505964,7610.5698,0.00,0
164,2022-04-03 00:00:00.000,6.62525987625122,90,1,3,4949,5.19849703126583,4905.8999,751.90,0.155423328280449
165,2022-04-03 00:00:00.000,5.30280733108521,90,1,30,4890,5.18178355029209,1524.90,198.90,0.130400002002716
166,2022-04-03 00:00:00.000,5.64636516571045,90,1,3,4092,5.13579843705026,2846.26,281.26,0.124258495867252
167,2022-04-03 00:00:00.000,5.64580011367798,90,1,13,9673,5.12989871492307,1971.10,281.10,0.141820684075356
168,2022-04-03 00:00:00.000,5.57897472381592,90,1,3,1742,5.11799381241676,2290.80,262.80,0.128346458077431
169,2022-04-03 00:00:00.000,3.08876729011536,90,1,7,9737,5.10594547390058,1135.05,-19.95,0.127056404948235
170,2022-04-03 00:00:00.000,5.84932470321655,90,1,27,4013,5.08140436498446,2760.00,345.00,0.129027366638184
171,2022-04-03 00:00:00.000,7.27166891098022,90,1,5,1967,5.07517381523383,4476.9502,1436.95,0.31108158826828
172,2022-04-03 00:00:00.000,0.6931471824646,90,1,21,3960,5.07517381523383,160.00,0.00,0
173,2022-04-03 00:00:00.000,4.80279064178467,90,1,32,2699,5.03043792139244,918.85,119.85,0.130400002002716
174,2022-04-03 00:00:00.000,4.9583592414856,90,1,3,1540,5.01727983681492,2724.3599,140.36,0.122190475463867
175,2022-04-03 00:00:00.000,4.40915536880493,90,1,13,9641,5.00394630594546,676.20,80.20,0.128007337450981
176,2022-04-03 00:00:00.000,5.80739164352417,90,1,27,4012,4.99043258677874,2535.75,330.75,0.130400002002716
177,2022-04-03 00:00:00.000,9.52295970916748,180,2,21,3937,8.35514473946184,104788.0078,13668.0098,0.130400002002716
178,2022-04-03 00:00:00.000,0.6931471824646,180,2,3,1853,8.22657347497711,0.00,0.00,0
179,2022-04-03 00:00:00.000,0.6931471824646,180,2,3,1862,8.08641027532378,0.00,0.00,0
180,2022-04-03 00:00:00.000,13.2321624755859,180,1,17,7768,7.99665387546261,82284.9609,-558024.9375,-11.6254844665527
181,2022-04-03 00:00:00.000,0.6931471824646,180,2,17,7770,7.99665387546261,82284.9609,0.00,0
182,2022-04-03 00:00:00.000,0.6931471824646,180,2,17,252,7.72929567431048,0.00,0.00,0
183,2022-04-03 00:00:00.000,8.35715579986572,180,2,6,4005,7.60389796852188,34603.5586,4258.5601,0.129242584109306
184,2022-04-03 00:00:00.000,0.6931471824646,180,2,3,1013,7.51479976048867,0.00,0.00,0
185,2022-04-03 00:00:00.000,0.6931471824646,180,2,34,3253,7.32580750259577,0.00,0.00,0
186,2022-04-03 00:00:00.000,7.42604875564575,180,2,3,9900,7.30787278076371,13717.1602,1677.16,0.12878306210041
187,2022-04-03 00:00:00.000,7.05514049530029,180,2,13,9616,7.30653139893951,7120.7998,1156.80,0.147889405488968
